track.name,ethnicity,genre1,genre2,broad_genre1,country,broad_genre2,country2,19fa-rep,19fa-played,19sp,19sp-played,18fa,18fa-played,18sp,18sp-played
99 Luftballons,white,post-punk rock,,rock,Germany,,,TRUE,TRUE,,,,,,
Accidentally In Love,white,pop rock,alternative rock,rock,USA,,,TRUE,TRUE,,,,,,
All The Small Things,white,pop punk,alternative rock,rock,USA,,,TRUE,TRUE,,,,,,
Bad Romance,white,electropop,dance-pop,pop,USA,,,TRUE,TRUE,,,,,,
Bang Bang,white,,,pop,USA,R&B,UK,TRUE,TRUE,,,,,,
Believer,white,pop rock,arena rock,rock,USA,,,TRUE,TRUE,,,,,,
Brooklyn,white,,,jazz,USA,,,TRUE,TRUE,,,,,,
Counting Stars,white,folk pop,pop rock,pop,USA,rock,,TRUE,TRUE,,,,,,
Domino - 1999 Remaster,white,,,R&B,UK,rock,,TRUE,TRUE,,,,,,
Ex's & Oh's,white,,,rock,USA,,,TRUE,TRUE,,,,,,
Feel It Still,white,psychedelic pop,funk,pop,USA,,,TRUE,TRUE,,,,,,
Free Ride,white,blues rock,,rock,USA,,,TRUE,TRUE,,,,,,
HandClap,white,indie-pop,dance-pop,pop,USA,,,TRUE,TRUE,,,,,,
Havana (feat. Young Thug),hispanic,,,pop,USA,,Cuba,TRUE,TRUE,,,,,,
I Want You Back,black,,,pop,USA,soul,,TRUE,TRUE,,,,,,
Just a Gigolo / I Ain't Got Nobody - 45 Version,white,,,jazz,USA,rock,,TRUE,TRUE,,,,,,
"Karn Evil 9 1st Impression, Pt. 1 - 2014 Remastered Version",white,progressive rock,,rock,UK,,,TRUE,TRUE,,,,,,
MIC Drop,asian,hip hop,k pop,hip hop,South Korea,,,TRUE,TRUE,,,,,,
My Songs Know What You Did In The Dark (Light Em Up),white,,,rock,USA,,,TRUE,TRUE,,,,,,
Old Town Road,black,country rap,,country,USA,rap,,TRUE,TRUE,,,,,,
"Paint It, Black",white,psychedelic rock,raga rock,rock,UK,,,TRUE,TRUE,,,,,,
Pompeii,white,indie rock,synth-pop,rock,UK,pop,,TRUE,TRUE,,,,,,
Radioactive,white,electronic rock,alternative rock,rock,USA,,,TRUE,TRUE,,,,,,
Sell Out,white,ska punk,,rock,USA,,,TRUE,TRUE,,,,,,
Shut Up and Dance,white,indie pop,alternative rock,rock,USA,pop,,TRUE,TRUE,,,,,,
Stacy's Mom,white,pop rock,power pop,rock,USA,pop,,TRUE,TRUE,,,,,,
Sucker,white,,,pop,USA,rock,,TRUE,TRUE,,,,,,
Sweet Charity: Big Spender,NA,,,jazz,USA,,,TRUE,TRUE,,,,,,
Sweet Child O' Mine,white,,,rock,USA,,,TRUE,TRUE,,,,,,
Tequila,hispanic,,,rock,USA,,,TRUE,TRUE,,,,,,
Timber (feat. Ke$ha),hispanic,dance-pop,EDM,pop,USA,,Cuba,TRUE,TRUE,,,,,,
Time Warp,NA,,,rock,UK,,,TRUE,TRUE,,,,,,
Uma Thurman,white,pop rock,surf rock,rock,USA,pop,,TRUE,TRUE,,,,,,
Uptown Funk,white,funk-pop,disco-pop,pop,UK,,USA,TRUE,FALSE,,,,,,
You Can Call Me Al,white,pop rock,worldbeat,rock,USA,pop,,TRUE,TRUE,,,,,,
Finesse,upforinterpretation,new jack swing,,R&B,USA,hip hop,,TRUE,FALSE,,,,,,
bad guy,white,pop-trap,,pop,USA,,,TRUE,FALSE,,,,,,
Born This Way,white,electropop,,pop,USA,,,TRUE,FALSE,,,,,,
Crazy in Love,black,hip hop,funk,hip hop,USA,,,TRUE,FALSE,,,,,,
I Like It,hispanic,latin trap,,latin trap,USA,,,TRUE,FALSE,,,,,,
Runaway Baby,upforinterpretation,soul,funk,funk,USA,,,TRUE,FALSE,,,,,,
Victorious,white,pop rock,power pop,pop,USA,rock,,TRUE,FALSE,,,,,,
